orgnid,keyword1,keyword2
201260,7,185
201260,1,2052
201260,9,6327
100063,10,940
100081,31,395
100219,8,1572
100219,9,1568
100219,11,13
100219,7,11
100300,9,38
100300,9,6767
100027,11,484
100027,7,71
100027,1,261
100027,11,333
100027,11,950
100027,2,337
100027,11,13
100027,3,3941
100027,11,15
100027,5,71
100027,1,138
100027,2,3
100027,4,6
100027,33,2104
100027,7,5575
100027,3,160
100027,3,18421
100404,1,1657
100404,8,370
100404,9,355
100404,8,198
100404,6,42
201243,9,1568
201243,2,34
201243,9,53
201243,4,2789
201243,11,32
201243,11,51
201243,9,101
201243,3,1404
201243,31,291
201243,3,69
100111,3,179
100111,31,856
100111,7,3860
100111,27,31
100111,150,348
100111,2,3
100112,5,209
100112,1,1863
100112,9,416
100112,1,2639
200654,8,60
200654,2,202
200654,9,192
200654,6,12
200654,8,4115
200654,1,214
200654,10,1843
201016,9,1816
201016,3,2601
201016,6,92
201016,31,198
201016,7,28
201016,3,12445
201016,3,337
201016,2,389
201016,33,439
201016,3,8623
201016,3,27
201016,3,22
201016,23,33
201016,6,41
201016,3,922
201016,10,264
201016,3,89
201016,11,16322
100073,10,1632
100073,11,15
100073,3,2035
100073,1,2622
100073,5,8021
100296,11,615
100296,31,851
100296,6,11673
100296,1,302
100296,31,497
100296,2,994
100296,11,13
100296,3,1792
100296,8,790
100296,8,732
100296,8,221
100296,10,144
100296,3,208
100296,33,125
100296,11,16
100296,4,43
100296,4,39
100296,4,32
100044,31,64
100044,8,481
201180,10,466
201180,9,80
201180,9,2374
201180,9,2022
100114,9,808
100114,1,10758
100114,10,2969
100114,1,30
100070,9,5767
100070,31,573
100070,10,2645
100113,4,6322
100113,5,1314
100113,11,223
100113,2,2788
100113,1,1211
100113,1,6709
100113,7,13
100113,11,22
100113,31,156
100113,3,158
100113,9,7766
100113,1,174
100113,2,5365
100113,2,20
201149,5,36
201149,8,2730
201149,3,854
201149,10,72
201149,1,5116
201149,1,2204
201149,31,198
100391,5,2417
100391,10,126
100391,33,517
100391,6,23
100391,11,684
100391,3,125
100391,31,4432
100330,10,198
100330,10,1104
100330,10,287
100330,8,38
100330,11,3168
100330,8,1104
100330,10,203
100461,31,835
100461,9,2808
100461,7,6516
100461,7,23
100461,3,28
100461,1,5960
100461,31,98
100461,8,171
100453,3,97
100453,3,52
100453,3,476
100453,10,429
100453,2,28
100453,3,89
100453,1,132
100453,3,8269
200625,3,57
200625,11,18
200625,7,125
200625,3,179
200625,1,9
200625,1,1481
200625,2,154
200625,1,440
100181,14,33
100181,3,166
100181,31,64
100181,3,111
100181,9,3776
100181,3,75
100181,4,133
100181,31,185
100181,3,1958
100181,3,20
100181,8,38
100181,11,43
100181,3,360
100181,3,684
100181,4,3322
100181,3,371
100181,11,1107
100181,4,14
100181,10,1289
100181,4,782
100181,31,1289
100181,3,574
100181,6,115
100181,5,6
100181,4,32
100181,5,420
201361,10,650
201361,4,7481
201361,10,6902
201361,11,9671
201361,11,18
201361,4,1134
201361,3,166
201361,11,615
201361,6,115
201361,3,118
201361,5,117
201361,10,182
201361,11,655
201361,11,1107
201361,7,237
201361,4,92
201361,3,11873
201361,9,1997
201361,11,102
201393,9,4521
201393,1,320
201393,11,102
100241,1,9660
100241,1,1538
100241,10,826
100241,24,31
100241,10,173
201214,11,2426
201214,11,2904
201214,11,1191
201214,11,15
201214,3,5
201214,11,103
201214,7,123
201214,11,13
201214,1,362
201214,1,526
201214,2,11830
201214,28,33
201214,1,3355
201214,2,92
201214,5,623
400018,10,266
400018,11,941
400018,32,33
400018,7,15
400018,11,13
400018,4,458
400018,6,23
100152,2,594
100152,6,1601
100152,1,6345
100152,31,240
100152,2,3094
100152,1,1407
100152,3,162
100152,1,1062
100152,5,48
100152,3,26
100152,1,543
100152,3,69
100152,11,18
100152,1,2166
100152,8,211
100152,10,800
100152,9,4756
100152,10,974
100152,10,264
100152,3,348
100152,8,464
100152,15,1406
100152,33,197
201260,7,405
201260,4,857
201260,10,264
201260,8,60
201260,8,1168
201260,31,290
201260,7,818
201260,33,2938
201260,8,38
201260,1,537
