YEAR,keyword1,keyword2
2009,3,371
2009,11,1107
2009,4,14
2009,10,1289
2009,4,782
2009,31,1289
2009,3,574
2009,6,115
2009,5,6
2009,5,420
2009,10,650
2009,4,7481
2009,10,6902
2009,11,9671
2009,4,1134
2009,3,118
2009,5,117
2009,10,182
2009,11,655
2009,7,237
2009,4,92
2009,3,11873
2009,9,1997
2009,11,102
2009,9,4521
2009,1,320
2009,1,9660
2009,1,1538
2009,10,826
2009,24,31
2009,10,173
2009,11,2426
2009,11,2904
2009,11,1191
2009,7,18
2009,11,103
2009,7,123
2009,11,1050
2009,1,362
2009,1,526
2009,2,11830
2009,28,33
2009,1,3355
2009,2,92
2009,5,623
2009,10,266
2009,11,941
2009,32,33
2009,7,15
2009,4,458
2009,2,594
2009,6,1601
2009,1,6345
2009,31,240
2009,2,3094
2009,1,1407
2009,3,162
2009,1,1062
2009,5,48
2009,3,26
2009,1,543
2009,1,2166
2009,10,800
2009,9,4756
2009,10,974
2009,3,348
2009,8,464
2009,15,1406
2009,33,197
2009,7,405
2009,4,857
2009,8,1168
2009,31,290
2009,7,818
2009,33,2938
2009,1,537
2009,8,10
2009,5,496
2009,9,2661
2009,1,3589
2009,1,1991
2009,11,197
2009,1,2546
2009,4,15
2009,10,511
2009,9,743
2009,1,2231
2009,9,7602
2009,9,9338
2010,7,28
2010,3,69
2010,11,15
2010,3,118
2010,8,1717
2010,11,18
2010,3,22
2010,3,524
2010,3,321
2010,33,1474
2010,5,569
2010,5,67
2010,4,19
2010,33,389
2010,2,1175
2010,33,11121
2010,33,34
2010,4,564
2010,1,132
2010,3,166
2010,2,52
2010,10,995
2010,6,42
2010,7,318
2010,5,1390
2010,8,98
2010,1,2531
2010,11,39
2010,4,202
2010,2,3
2010,11,12564
2010,33,288
2010,33,3834
2010,3,169
2010,10,19742
2010,11,183
2010,1,80
2010,25,33
2010,9,2011
2010,3,1516
2010,8,172
2010,10,200
2010,1,291
2010,11,1415
2010,9,2432
2010,6,71
2010,9,1036
2010,2,2712
2010,3,35
2010,7,14
2010,9,31
2010,1,12266
2010,31,72
2010,6,51
2010,8,545
2010,3,443
2010,5,480
2010,10,902
2010,5,15160
2010,5,2510
2010,1,428
2010,1,346
2010,1,6274
2010,31,134
2010,1,4250
2010,9,3624
2010,10,214
2010,1,1168
2010,8,494
2010,9,2062
2010,9,4259
2010,1,29
2010,3,202
2010,6,44
2010,4,5
2010,9,1924
2010,4,407
2010,6,32
2010,6,28
2010,7,201
2010,2,4
2010,3,6
2010,3,18
2010,6,1138
2010,6,92
2010,3,1025
2010,6,65
2010,3,89
2010,2,67
2010,6,23
2010,2,299
2010,6,122
2010,11,197
2010,4,369
2010,2,792
2010,1,801
2010,4,35
2010,10,779
2010,3,115
2010,1,1482
2010,31,1889
2010,7,575
2010,9,1342
2010,9,330
2010,4,257
2010,1,3302
2010,9,81
2010,2,635
2010,3,6512
2010,11,10548
2010,11,10951
2010,4,127
2010,7,134
2010,8,1206
2010,3,333
2010,4,11346
2010,6,1569
2010,10,1178
2010,3,797
2010,10,4121
2010,8,4321
2010,8,5840
2010,8,907
2010,1,4015
2010,7,67
2010,33,1961
2010,31,267
2010,31,324
2010,5,1357
2010,8,18958
2010,2,1357
2010,8,326
2010,10,31
2010,1,523
2010,31,76
2010,1,5911
2010,9,500
2010,9,465
2010,1,1200
2010,8,2598
2010,9,5434
2010,9,1037
2010,8,265
2010,10,21
2010,5,2472
2010,31,1038
2010,10,455
2010,11,44
2010,5,118
2010,11,65
2010,11,103
2010,10,363
2010,2,23
2010,33,420
2010,8,257
2010,3,508
2010,7,157
2010,4,420
2010,11,152
2010,3,196
2010,6,52
2010,7,366
2010,3,219
2010,5,380
2010,5,314
2010,9,1568
2010,9,2384
2010,10,182
2010,1,1919
2010,8,11264
2010,9,137
2010,8,88
2010,18,33
2010,7,248
2010,11,51
2010,7,818
2010,10,177
2010,8,72
2010,8,1168
2010,2,230
2010,10,1004
2010,10,104
2010,8,30
2010,31,226
2010,33,169
2010,8,370
2010,9,80
2010,7,2271
2010,8,139
2010,3,6120
2010,5,65
2010,4,14
2010,3,846
2010,9,14513
2010,1,3943
2010,2,840
2010,8,918
2010,10,1793
2010,8,259
2010,1,597
2010,2,69
2010,3,4433
2010,8,935
2010,10,160
2010,11,2258
2010,8,91
2010,33,3476
2010,8,814
2010,8,464
2010,7,175
2010,11,13
2010,8,213
2010,4,115
2010,1,345
2010,1,281
2010,9,2052
2010,10,1147
2010,3,1640
2010,11,2586
2010,1,9207
2010,9,12388
2010,1,4036
2010,9,9839
2010,9,1561
2010,10,30
2010,8,1105
2010,1,969
2010,4,1496
2010,31,240
2010,33,207
2010,3,1442
2010,1,14718
2010,4,288
2010,11,7681
2010,10,423
2010,7,208
2010,4,274
2010,4,34
2010,3,171
2010,31,5432
2010,1,11575
2010,9,119
2010,3,190
2010,3,375
2010,5,25
2010,2,158
2010,3,193
2010,3,292
2010,2,160
2010,5,44
2010,11,652
2010,11,150
2010,2,97
2010,8,21
2010,2,6
2010,6,12
2010,6,97
2010,4,208
2010,11,22
2010,33,380
2010,3,146
2010,3,1792
2010,6,26
2010,3,405
2010,3,2587
2010,33,92
2010,3,5637
2010,10,53
2010,8,206
2010,6,19
2010,11,67
2010,9,8839
2010,6,171
2010,33,2039
2010,10,2392
2010,3,23
2010,675,1433
2010,33,7709
2010,4,3323
2010,8,936
2010,10,3232
2010,10,1667
2010,1,5991
2010,8,1309
2010,1,788
2010,31,53
2010,1,803
2010,9,1324
2010,8,13309
2010,33,461
2010,31,104
2010,31,738
2010,9,1843
2010,9,1592
2010,8,7893
2010,8,980
2010,3,4751
2010,11,47
2010,11,12
2010,7,92
2010,6,679
2010,11,990
2010,11,615
2010,11,480
2010,8,3165
2010,7,113
2010,2,251
2010,1,2564
2010,9,416
2010,10,7652
2010,10,136
2010,31,2801
2010,3,102
2010,10,429
2010,3,225
2010,33,134
2010,1,1911
2010,1,7617
2010,9,1827
2010,8,15209
2010,7,69
2010,1433,8757
2010,31,221
2010,3,274
2010,11,831
2010,31,521
2010,7,4909
2010,9,16111
2010,4,23
2010,2,1027
2010,5,5366
2010,7,2431
2010,3,39
2010,9,106
2010,7,1167
2010,2,263
2010,1,3193
2010,31,1135
2010,2,188
2010,33,176
2010,5,293
2010,10,28
2010,9,5371
2010,9,15933
2010,33,113
2010,1,2204
2010,8,5189
2010,1,9669
2010,1,530
2010,9,6809
2010,10,1263
2010,10,264
2010,1,2864
2010,7,993
2010,1,98
2010,1,9648
2010,8,5629
2010,1,323
2010,10,38
2010,9,9204
2010,9,128
2010,1,6625
2010,4,223
2010,1,7244
