YEAR,keyword1,keyword2,keyword3
2010,6,12,162
2010,6,97,771
2010,4,208,328
2010,2,160,2921
2010,11,22,3080
2010,3,1792,2381
2010,6,26,71
2010,3,405,7127
2010,3,2587,11998
2010,33,92,5494
2010,3,5637,5742
2010,10,53,266
2010,8,206,331
2010,6,19,14201
2010,11,67,251
2010,6,171,2086
2010,33,2039,2115
2010,10,2392,4172
2010,3,23,89
2010,2,3,19
2010,33,169,203
2010,3,89,823
2010,6,23,768
2010,4,3323,19016
2010,8,814,1501
2010,8,936,1388
2010,1,5991,11570
2010,8,1309,6653
2010,1,803,1992
2010,9,1324,19574
2010,33,461,9558
2010,31,104,19700
2010,31,738,959
2010,9,1843,5939
2010,9,1592,9977
2010,8,7893,11553
2010,8,980,12225
2010,3,4751,14320
2010,11,47,55
2010,11,51,95
2010,11,12,1895
2010,7,92,3191
2010,6,679,4773
2010,11,615,12564
2010,11,480,2837
2010,8,3165,19249
2010,7,113,223
2010,2,3,16836
2010,1,2564,4286
2010,6,19,1774
2010,9,416,452
2010,10,136,2000
2010,3,102,1233
2010,10,429,461
2010,3,225,11660
2010,3,18,5143
2010,33,134,3718
2010,1,2564,9266
2010,1,1911,6351
2010,1,7617,11466
2010,9,1827,4185
2010,7,69,333
2010,1433,8757,18269
2010,31,221,19923
2010,3,274,589
2010,11,831,10246
2010,31,521,2462
2010,7,4909,11407
2010,4,23,42
2010,2,3,823
2010,3,69,1066
2010,6,65,5083
2010,2,1027,1399
2010,11,18,2276
2010,5,5366,19495
2010,8,91,448
2010,7,2431,3813
2010,3,39,154
2010,7,28,5081
2010,2,263,673
2010,1,3193,13641
2010,31,1135,15467
2010,2,188,3794
2010,8,172,1382
2010,33,176,462
2010,5,293,1307
2010,10,28,495
2010,9,5371,11315
2010,33,113,223
2010,8,5189,19392
2010,6,28,507
2010,1,530,5339
2010,10,1263,1523
2010,10,264,2384
2010,3,69,1413
2010,1,98,474
2010,1,9648,15378
2010,8,5629,6876
2010,1,323,2486
2010,10,38,198
2010,9,128,255
2010,1,6625,19771
2010,4,223,5294
2010,7,154,168
2010,9,10620,13380
2010,3,11,15
2010,4,179,222
2010,1,1037,1713
2010,33,169,414
2010,3,188,19673
2010,9,10827,16993
2011,7,196,3933
2011,7,665,4296
2011,2,6,52
2011,4,14,794
2011,10,192,1703
2011,3,20,920
2011,2,230,5170
2011,3,1291,1682
2011,31,129,2845
2011,8,38,2173
2011,2,160,588
2011,7,195,2917
2011,4,53,4025
2011,3,6,171
2011,6,36,52
2011,11,186,1220
