orgnid,keyword1,keyword2,keyword3
100219,11,197,989
100219,4,15,20
100300,9,7602,9667
100027,7,28,2311
100027,7,28,179
100027,3,69,123
100027,11,15,685
100027,3,118,2311
100027,11,15,5398
100027,8,1717,3165
100027,11,18,6770
100027,3,22,855
100027,3,524,2828
100027,3,321,479
100027,33,1474,3376
100027,5,569,19825
100027,5,67,441
100027,4,19,507
100027,33,389,1058
100027,33,11121,17678
100027,33,34,354
100027,4,564,992
100027,1,132,345
100027,3,166,482
100027,2,52,171
100027,10,995,1743
100027,6,42,441
100027,7,318,10903
100027,5,1390,2855
100027,1,2531,6488
100027,11,39,612
100027,4,202,1307
100027,2,3,994
100027,11,12564,16858
100404,33,288,2298
100404,3,169,9951
100404,11,183,999
100404,1,80,2421
100404,25,33,219
100404,33,34,369
100404,9,2011,6495
100404,3,1516,2264
100404,8,172,2164
100404,1,291,849
100404,11,1415,7076
201243,9,2432,5017
201243,11,15,2848
201243,6,71,6030
201243,9,1036,5473
201243,2,2712,16531
201243,3,35,122
201243,31,72,3567
201243,6,51,1712
201243,8,545,1088
100111,3,443,1226
100111,5,2510,5445
100112,1,346,10765
100112,1,6274,9591
100112,31,134,804
200654,9,3624,3635
200654,10,214,2529
200654,9,2062,4674
200654,9,4259,7015
201016,3,202,3628
201016,6,42,51
201016,6,44,122
201016,4,5,347
201016,11,18,152
201016,2,3,183
201016,4,407,1265
201016,6,32,71
201016,6,28,42
201016,7,201,215
201016,2,4,1774
201016,3,6,71
201016,2,3,71
201016,3,18,3294
201016,3,6,347
201016,6,92,2957
201016,3,1025,1099
201016,6,65,92
201016,3,89,2389
201016,2,67,1311
201016,6,23,1013
201016,6,122,1008
201016,11,197,251
201016,4,369,571
201016,2,792,2752
201016,4,35,482
201016,10,779,4196
201016,3,115,6467
100073,1,1482,7738
100073,3,18,89
100073,31,1889,9190
100073,7,575,608
100073,9,1342,1642
100073,9,330,4068
100073,4,257,407
100073,1,3302,4689
100073,9,81,1500
100073,2,635,1527
100296,11,15,989
100296,3,6512,10625
100296,11,10548,11882
100296,4,127,7395
100296,7,134,502
100296,8,1206,17193
100296,3,333,349
100296,10,1178,2059
100296,3,797,6724
100296,10,4121,5329
100296,8,4321,6674
100296,8,5840,7264
100296,8,907,2050
100296,1,4015,6802
100296,7,67,130
100296,33,1961,2026
100296,31,267,6130
100296,31,324,552
100296,5,1357,2155
100296,2,1357,2619
100296,8,326,1077
100296,25,33,146
100044,10,31,1528
100044,31,76,3761
201180,9,500,15896
201180,9,465,16195
201180,1,1200,2450
201180,8,2598,3284
100114,9,1037,4034
100114,8,265,824
100114,10,21,838
100070,5,2472,4883
100070,10,455,9479
100113,11,44,7554
100113,9,81,452
100113,11,65,5188
100113,10,363,6062
100113,2,23,3793
100113,33,420,18889
100113,8,257,12447
100113,3,508,568
100113,7,157,431
100113,4,420,902
100113,11,152,3599
100113,3,196,458
100113,6,52,4026
100113,7,366,1775
100113,1,80,9667
100113,3,219,5733
100113,5,380,1327
100113,5,314,2353
100113,3,22,1376
201149,9,1568,10145
201149,9,2384,6475
201149,10,182,455
201149,1,1919,7129
201149,9,137,17804
201149,8,88,451
100391,18,33,1153
100391,7,248,1807
100391,11,51,183
100391,7,818,4602
100391,11,152,186
100391,10,177,748
100391,8,72,324
100391,2,230,450
100391,10,1004,1667
100391,8,30,1158
100391,31,226,766
100391,33,169,6725
100330,9,80,250
100330,8,98,464
100330,8,139,4698
100330,3,6120,19549
100461,5,65,117
100461,4,14,288
100461,3,846,850
100461,1,3943,17504
100461,2,840,7976
100461,4,14,644
100453,3,69,1245
100453,8,918,1269
100453,10,1793,2382
100453,8,259,9993
100453,1,597,6894
100453,2,69,146
100453,3,4433,14841
100453,8,935,3745
100453,10,160,934
100453,11,2258,3031
100453,8,91,136
100453,33,3476,16921
100453,3,115,1952
100453,8,814,1624
200625,8,464,4805
200625,7,175,384
200625,11,13,144
200625,8,213,2335
200625,4,115,1614
200625,1,345,7627
200625,1,281,734
200625,9,2052,17066
200625,10,1147,1281
200625,11,2586,7316
200625,1,9207,19457
100057,1,4036,13979
100057,9,1561,9070
100057,10,30,88
100057,8,1105,2767
100181,4,1496,1710
100181,31,240,745
100181,33,207,2057
100181,3,1442,6546
100181,4,288,4777
100181,10,423,3858
100181,7,208,456
100181,4,274,571
100181,4,34,277
100181,3,171,1313
100181,9,119,1146
100181,3,190,16726
100181,3,375,1303
100181,5,25,115
100181,2,158,3959
100181,6,51,133
100181,3,193,993
100181,2,3,406
100181,3,292,2034
201361,2,160,12546
201361,5,44,683
201361,11,652,5465
201361,11,150,612
201361,2,97,202
201361,8,21,76
201361,6,51,69
201361,2,6,23
201361,6,12,162
201361,6,97,771
201361,4,208,328
201361,2,160,2921
201361,11,22,3080
201361,3,1792,2381
201361,6,26,71
201361,3,405,7127
201361,3,2587,11998
201361,33,92,5494
201361,3,5637,5742
201361,10,53,266
201361,8,206,331
201361,6,19,14201
201361,11,67,251
201361,6,171,2086
201361,33,2039,2115
201361,10,2392,4172
201361,3,23,89
201361,2,3,19
201361,33,169,203
201361,3,89,823
201361,6,23,768
201361,4,3323,19016
201361,8,814,1501
201393,8,936,1388
201393,1,5991,11570
201393,8,1309,6653
100241,1,803,1992
100241,9,1324,19574
100241,33,461,9558
100241,31,104,19700
100241,31,738,959
100241,9,1843,5939
100241,9,1592,9977
100241,8,7893,11553
100241,8,980,12225
201214,3,4751,14320
201214,11,47,55
201214,11,51,95
201214,11,12,1895
201214,7,92,3191
201214,6,679,4773
201214,11,615,12564
201214,11,480,2837
201214,8,3165,19249
201214,7,113,223
201214,2,3,16836
201214,1,2564,4286
201214,6,19,1774
201214,9,416,452
201214,10,136,2000
201214,3,102,1233
201214,10,429,461
201214,3,225,11660
201214,3,18,5143
400018,33,134,3718
400018,1,2564,9266
400018,1,1911,6351
400018,1,7617,11466
400018,9,1827,4185
400018,7,69,333
400018,1433,8757,18269
400018,31,221,19923
400018,3,274,589
400018,11,831,10246
400018,31,521,2462
400018,7,4909,11407
400018,4,23,42
400018,2,3,823
100152,6,65,5083
100152,2,1027,1399
100152,5,5366,19495
100152,8,91,448
100152,7,2431,3813
100152,3,39,154
100152,7,28,5081
100152,2,263,673
100152,1,3193,13641
100152,31,1135,15467
100152,2,188,3794
100152,8,172,1382
100152,33,176,462
100152,5,293,1307
100152,10,28,495
100152,9,5371,11315
201260,33,113,223
201260,8,5189,19392
201260,6,28,507
201260,1,530,5339
201260,10,1263,1523
201260,10,264,2384
201260,3,69,1413
201260,1,98,474
201260,1,9648,15378
201260,8,5629,6876
201260,1,323,2486
100063,10,38,198
100063,9,128,255
100081,1,6625,19771
100081,4,223,5294
100219,4,23,42
100219,7,154,168
100219,9,10620,13380
100219,3,11,15
100219,4,179,222
100219,1,1037,1713
100219,33,169,414
100219,3,188,19673
100300,9,10827,16993
100027,7,196,3933
100027,7,665,4296
100027,2,6,52
100027,4,14,794
100027,10,192,1703
100027,3,20,920
100027,2,230,5170
100027,3,1291,1682
100027,31,129,2845
100027,8,38,2173
100027,2,160,588
100027,7,195,2917
100027,4,53,4025
100027,3,6,171
100027,6,36,52
100027,11,186,1220
100027,3,34,36
100027,3,5012,6358
100027,6,173,1496
100027,10,1622,11922
100027,2,3,22
100027,10,1431,2777
100027,6,12,19
100027,3,349,2577
100027,6,201,433
100027,6,49,482
100027,6,162,4864
100027,2,5,102
100027,6,244,2271
100027,5,794,5008
100027,10,210,511
